#### TEMPERATURA EM CUIABÁ (1961-2019) ####
# Fonte: BDMEP - INMET
# http://www.inmet.gov.br/portal/index.php?r=bdmep/bdmep

Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;
83361;25/08/1961;0000;;36.4;;29.9;40.75;
83361;25/08/1961;1200;0;;24;;;
83361;26/08/1961;0000;;37.1;;30.72;40.25;
83361;26/08/1961;1200;0;;25;;;
83361;27/08/1961;0000;;36.3;;30.72;39.5;
83361;27/08/1961;1200;0;;26.1;;;
83361;28/08/1961;0000;;38.3;;30.42;42.25;
83361;28/08/1961;1200;1.2;;22.9;;;
83361;29/08/1961;0000;;38;;31.9;41.75;
83361;29/08/1961;1200;0;;26.8;;;
83361;30/08/1961;0000;;38.9;;30.6;45.75;
83361;30/08/1961;1200;0;;24.8;;;
83361;31/08/1961;0000;;36.9;;30.08;47;
83361;31/08/1961;1200;0.4;;23.3;;;
83361;01/09/1961;0000;;38.3;;31.22;46;
83361;01/09/1961;1200;0;;24.9;;;
83361;02/09/1961;0000;;38.5;;31.56;35;
83361;02/09/1961;1200;0;;25.8;;;
83361;03/09/1961;0000;;38.6;;31.38;32.75;
83361;03/09/1961;1200;0;;22.2;;;
83361;04/09/1961;0000;;38.4;;30.92;43.5;
83361;04/09/1961;1200;0;;23.4;;;
83361;05/09/1961;0000;;32.3;;25.08;56.25;
83361;05/09/1961;1200;0;;20.6;;;
83361;06/09/1961;0000;;29.9;;22.92;57.75;
83361;06/09/1961;1200;0;;17.1;;;
83361;07/09/1961;0000;;34.3;;26.34;55.5;
83361;07/09/1961;1200;0;;18.8;;;
83361;08/09/1961;0000;;33.8;;27.02;55.75;
83361;08/09/1961;1200;0;;21.7;;;
83361;09/09/1961;0000;;36.2;;28.9;53.25;
83361;09/09/1961;1200;0;;22.4;;;
83361;10/09/1961;0000;;37.2;;30.84;44.5;
83361;10/09/1961;1200;0;;25.4;;;
83361;11/09/1961;0000;;37.5;;31.24;38;
83361;11/09/1961;1200;0;;25.2;;;
83361;12/09/1961;0000;;38.8;;31.08;40;
83361;12/09/1961;1200;0;;24;;;
83361;13/09/1961;0000;;38.8;;31.96;34.5;
83361;13/09/1961;1200;0;;24;;;
